"","scientific_name","midpoint_cc","releveSite","releveyear"
"61","Agastache foeniculum",3,"WWRP Rel 2",2024
"62","Ageratina altissima",3,"LBRP  Rel 3",2024
"63","Ageratina altissima",3,"LBRP R",2024
"64","Ageratina altissima",3,"LHDL rel 1-6",2024
"65","Ageratina altissima",3,"LHDL rel 2-2",2024
"66","Ageratina altissima",3,"LHHL 5",2024
"67","Ageratina altissima",3,"LHHL1 Rel",2024
"68","Ageratina altissima",3,"LHHL2 Rel",2024
"69","Ageratina altissima",3,"LHHL3 Rel",2024
"70","Ageratina altissima",3,"LHHL4 Rel",2024
"71","Ageratina altissima",3,"LHJL 1",2024
"72","Ageratina altissima",3,"LHSP 1-1",2024
"73","Ageratina altissima",37.5,"MRPR C",2024
"74","Ageratina altissima",3,"MRPR Rel 3",2024
"75","Ageratina altissima",15,"SLPR 1",2024
"76","Ageratina altissima",3,"SLPR B",2024
"77","Ageratina altissima",3,"SLPR Rel 2",2024
"78","Ageratina altissima",3,"TCP Lakeshore Rel 2",2024
"79","Ageratina altissima",3,"WWRP RCG unit 5 rel",2024
"80","Ageratina altissima",3,"WWRP Rel 2",2024
"81","Agrimonia gryposepala",3,"LHSP 1-1",2024
"82","Agrimonia pubescens",3,"LHHL 5",2024
"83","Agrimonia pubescens",3,"LHSP 1-1",2024
"84","Agrimonia pubescens",3,"WWBW Rel",2024
"85","Agrimonia pubescens",0.5,"WWRP Rel 2",2024
"86","Agrimonia pubescens",3,"WWRP Rel 3",2024
"87","Agrimonia sp.",0.5,"MRPR Rel 2",2024
"88","Agrimonia striata",0.5,"LHHL4 Rel",2024
"89","Agrostis gigantea",3,"LBRP Rel 8",2024
"90","Agrostis gigantea",3,"LHDL rel 1-6",2024
"91","Agrostis gigantea",3,"LHSP 1-1",2024
"92","Agrostis gigantea",3,"MRPR C",2024
"93","Agrostis gigantea",15,"TCP Lakeshore Rel 1",2024
"94","Agrostis gigantea",3,"TCP Lakeshore Rel 2",2024
"95","Agrostis gigantea",37.5,"WWBW Rel",2024
"96","Agrostis gigantea",3,"WWRP RCG unit 5 rel",2024
"97","Agrostis scabra",3,"LHHL4 Rel",2024
"98","Alisma sp",3,"TCP Lakeshore Rel 1",2024
"99","Alisma triviale",3,"TCP Lakeshore Rel 2",2024
"100","Alliaria petiolata",3,"LBRP  Rel 3",2024
"101","Alliaria petiolata",3,"LHHL2 Rel",2024
"102","Alliaria petiolata",3,"MRPR Rel 2",2024
"103","Alliaria petiolata",3,"MRPR TB Rel 2",2024
"104","Alliaria petiolata",3,"South Creek Releve 2",2024
"105","Alnus incana",87.5,"LHTS 1",2024
"106","Amaranthus tuberculatus",3,"LBRP R",2024
"107","Ambrosia artemisiifolia",15,"LBRP Rel 8",2024
"108","Ambrosia artemisiifolia",3,"LHDL rel 1-6",2024
"109","Ambrosia artemisiifolia",3,"LHPP rel 1",2024
"110","Ambrosia artemisiifolia",3,"LHPP rel 2",2024
"111","Ambrosia artemisiifolia",0.5,"MRPR Rel 2",2024
"112","Ambrosia artemisiifolia",0.5,"SLPR B",2024
"113","Ambrosia artemisiifolia",3,"South Creek Releve 1",2024
"114","Ambrosia artemisiifolia",0.5,"TCP Lakeshore Rel 2",2024
"115","Ambrosia artemisiifolia",3,"WWRP Italy Moraine Rel",2024
"116","Ambrosia artemisiifolia",0.5,"WWRP RCG unit 4 Rel",2024
"117","Ambrosia artemisiifolia",3,"WWRP RCG unit 5 rel",2024
"118","Ambrosia artemisiifolia",3,"WWRP Rel 4",2024
"119","Ambrosia psilostachya",15,"SLPR B",2024
"120","Ambrosia trifida",3,"MRPR TB Rel 2",2024
"121","Ambrosia trifida",3,"WWRP RCG unit 5 rel",2024
"122","Amorpha canescens",3,"MRPR CPL19 rel 1",2024
"123","Amorpha canescens",15,"WWRP Italy Moraine Rel",2024
"124","Amorpha canescens",3,"WWRP Rel 4",2024
"125","Amphicarpaea bracteata",15,"LHDL rel 1-6",2024
"126","Amphicarpaea bracteata",3,"LHDL rel 2-2",2024
"127","Amphicarpaea bracteata",3,"LHHL 5",2024
"128","Amphicarpaea bracteata",3,"LHHL1 Rel",2024
"129","Amphicarpaea bracteata",15,"LHHL2 Rel",2024
"130","Amphicarpaea bracteata",15,"LHHL3 Rel",2024
"131","Amphicarpaea bracteata",37.5,"LHHL4 Rel",2024
"132","Amphicarpaea bracteata",3,"LHJL 1",2024
"133","Amphicarpaea bracteata",15,"LHSP 1-1",2024
"134","Amphicarpaea bracteata",3,"SLPR Rel 2",2024
"135","Amphicarpaea bracteata",3,"WWBW Rel",2024
"136","Amphicarpaea bracteata",3,"WWRP RCG unit 5 rel",2024
"137","Amphicarpaea bracteata",3,"WWRP Rel 2",2024
"138","Amphicarpaea bracteata",3,"WWRP Rel 3",2024
"139","Amphicarpaea bracteata",3,"WWRP WL Rel",2024
"140","Andropogon gerardii",62.5,"LBRP Rel 8",2024
"141","Andropogon gerardii",0.5,"LHDL rel 2-2",2024
"142","Andropogon gerardii",15,"MRPR CPL19 rel 1",2024
"143","Andropogon gerardii",0.5,"South Creek Releve 1",2024
"144","Andropogon gerardii",3,"TCP Lakeshore Rel 1",2024
"145","Andropogon gerardii",3,"WWRP Rel 3",2024
"146","Anemone canadensis",3,"LHHL1 Rel",2024
"147","Anemone canadensis",3,"WWBW Rel",2024
"148","Anemone cylindrica",3,"MRPR CPL19 rel 1",2024
"149","Anemone cylindrica",3,"SLPR B",2024
"150","Anemone cylindrica",0.5,"WWRP Italy Moraine Rel",2024
"151","Anemone quinquefolia",0.5,"LHDL rel 2-2",2024
"152","Anemone quinquefolia",3,"LHHL 5",2024
"153","Anemone virginiana",3,"LBRP Rel 8",2024
"154","Anemone virginiana",3,"LHDL rel 1-6",2024
"155","Anemone virginiana",0.5,"MRPR CPL19 rel 1",2024
"156","Anemone virginiana",3,"South Creek Releve 1",2024
"157","Anemone virginiana",3,"WWRP Rel 2",2024
"158","Anemone virginiana",3,"WWRP Rel 3",2024
"159","Antennaria sp.",3,"MRPR CPL19 rel 1",2024
"160","Apocynum androsaemifolium",15,"LHDL rel 1-6",2024
"161","Apocynum androsaemifolium",3,"LHDL rel 2-2",2024
"162","Apocynum androsaemifolium",0.5,"WWRP Rel 3",2024
"163","Apocynum cannabinum",0.5,"LHPP rel 2",2024
"164","Apocynum sibiricum",3,"WWRP Italy Moraine Rel",2024
"165","Apocynum sibiricum",3,"WWRP Rel 2",2024
"166","Aquilegia canadensis",0.5,"LHDL rel 2-2",2024
"167","Aquilegia canadensis",3,"MRPR C",2024
"168","Aquilegia canadensis",3,"MRPR CPL19 rel 1",2024
"169","Aquilegia canadensis",3,"WWRP Italy Moraine Rel",2024
"170","Aquilegia canadensis",3,"WWRP Rel 2",2024
"171","Arabidopsis lyrata",0.5,"SLPR B",2024
"172","Aralia nudicaulis",0.5,"LHJL 1",2024
"173","Aralia racemosa",15,"SLPR Rel 2",2024
"174","Arctium minus",3,"LBRP  Rel 3",2024
"175","Arctium minus",0.5,"LBRP R",2024
"176","Arctium minus",3,"LHDL rel 1-6",2024
"177","Arctium minus",3,"LHHL1 Rel",2024
"178","Arctium minus",3,"LHHL2 Rel",2024
"179","Arctium minus",3,"LHHL4 Rel",2024
"180","Arctium minus",3,"LHJL 1",2024
"181","Arctium minus",3,"MRPR C",2024
"182","Arctium minus",3,"MRPR Rel 2",2024
"183","Arctium minus",3,"TCP Lakeshore Rel 1",2024
"184","Arctium minus",3,"WWRP RCG unit 5 rel",2024
"185","Arctium minus",0.5,"WWRP WL Rel",2024
"186","Arisaema triphyllum",3,"LHDL rel 1-6",2024
"187","Arisaema triphyllum",0.5,"LHDL rel 2-2",2024
"188","Arisaema triphyllum",3,"LHHL 5",2024
"189","Arisaema triphyllum",3,"LHHL1 Rel",2024
"190","Arisaema triphyllum",3,"LHHL2 Rel",2024
"191","Arisaema triphyllum",15,"LHHL3 Rel",2024
"192","Arisaema triphyllum",3,"LHHL4 Rel",2024
"193","Arisaema triphyllum",3,"LHSP 1-1",2024
"194","Arisaema triphyllum",3,"LHTS 1",2024
"195","Arisaema triphyllum",15,"SLCW Releve 1",2024
"196","Arisaema triphyllum",3,"SLPR 1",2024
"197","Arisaema triphyllum",3,"SLPR Rel 2",2024
"198","Arisaema triphyllum",3,"SLSBWL rel 1",2024
"199","Arisaema triphyllum",3,"South Creek Releve 2",2024
"200","Arisaema triphyllum",3,"WWRP WL Rel",2024
"201","Artemisia campestris",15,"WWRP Rel 4",2024
"202","Artemisia ludoviciana",3,"WWRP Italy Moraine Rel",2024
"203","Artemisia ludoviciana",3,"WWRP Rel 2",2024
"204","Artemisia ludoviciana",3,"WWRP Rel 3",2024
"205","Asclepias exaltata",3,"LHDL rel 1-6",2024
"206","Asclepias exaltata",3,"LHDL rel 2-2",2024
"207","Asclepias exaltata",0.5,"LHHL2 Rel",2024
"208","Asclepias exaltata",3,"LHSP 1-1",2024
"209","Asclepias incarnata",0.5,"LHHL1 Rel",2024
"210","Asclepias incarnata",3,"TCP Lakeshore Rel 1",2024
"211","Asclepias incarnata",3,"TCP Lakeshore Rel 2",2024
"212","Asclepias syriaca",0.5,"LBRP R",2024
"213","Asclepias syriaca",3,"MRPR Rel 2",2024
"214","Asclepias syriaca",0.5,"MRPR Rel 3",2024
"215","Asclepias syriaca",3,"MRPR TB Rel 2",2024
"216","Asclepias syriaca",3,"TCP Lakeshore Rel 1",2024
"217","Asclepias syriaca",3,"WWRP RCG unit 4 Rel",2024
"218","Asclepias syriaca",3,"WWRP RCG unit 5 rel",2024
"219","Asclepias syriaca",3,"WWRP Rel 3",2024
"220","Asclepias tuberosa",3,"WWRP Italy Moraine Rel",2024
"221","Asclepias verticillata",0.5,"LBRP Rel 8",2024
"222","Asclepias verticillata",3,"LHPP rel 1",2024
"223","Asclepias verticillata",3,"MRPR CPL19 rel 1",2024
"224","Asclepias verticillata",0.5,"SLPR B",2024
"225","Asclepias verticillata",3,"WWRP Rel 4",2024
"226","Asparagus officinalis",3,"MRPR CPL19 rel 1",2024
"227","Asparagus officinalis",0.5,"TCP Lakeshore Rel 2",2024
"228","Astragalus canadensis",3,"WWRP Rel 3",2024
"229","Athyrium filix-femina",3,"LHDL rel 1-6",2024
"230","Athyrium filix-femina",3,"LHDL rel 2-2",2024
"231","Athyrium filix-femina",15,"LHHL 5",2024
"232","Athyrium filix-femina",3,"LHHL1 Rel",2024
"233","Athyrium filix-femina",3,"LHHL2 Rel",2024
"234","Athyrium filix-femina",15,"LHHL3 Rel",2024
"235","Athyrium filix-femina",15,"LHHL4 Rel",2024
"236","Athyrium filix-femina",15,"LHSP 1-1",2024
"237","Athyrium filix-femina",3,"LHTS 1",2024
"238","Athyrium filix-femina",3,"SLCW Releve 1",2024
"239","Athyrium filix-femina",15,"WWRP WL Rel",2024
"240","Barbarea vulgaris",3,"LHTS 1",2024
"241","Barbarea vulgaris",3,"MRPR TB Rel 2",2024
"242","Berteroa incana",3,"LBRP Rel 8",2024
"243","Berteroa incana",3,"SLPR B",2024
"244","Berteroa incana",3,"WWRP Italy Moraine Rel",2024
"245","Betula papyrifera",0.5,"LHHL 5",2024
"246","Betula papyrifera",0.5,"LHHL3 Rel",2024
"247","Betula papyrifera",0.5,"LHHL4 Rel",2024
"248","Betula papyrifera",15,"LHSP 1-1",2024
"249","Betula papyrifera",15,"LHTS 1",2024
"250","Betula papyrifera",37.5,"MRPR Rel 3",2024
"251","Bidens cernua",3,"LBRP R",2024
"252","Bidens cernua",0.5,"TCP Lakeshore Rel 2",2024
"253","Bidens connata",3,"LHTS 1",2024
"254","Bidens connata",0.5,"TCP Lakeshore Rel 2",2024
"255","Bidens frondosa",3,"LBRP R",2024
"256","Bidens frondosa",3,"LHHL4 Rel",2024
"257","Bidens frondosa",3,"LHTS 1",2024
"258","Bidens sp.",0.5,"LHHL1 Rel",2024
"259","Bidens tripartita",3,"LHTS 1",2024
"260","Boehmeria cylindrica",3,"LHTS 1",2024
"261","Bouteloua curtipendula",15,"LBRP Rel 8",2024
"262","Bouteloua curtipendula",3,"MRPR C",2024
"263","Bouteloua curtipendula",15,"SLPR B",2024
"264","Bouteloua curtipendula",3,"WWRP Rel 4",2024
"265","Bouteloua gracilis",3,"SLPR B",2024
"266","Bouteloua gracilis",0.5,"TCP Lakeshore Rel 2",2024
"267","Bouteloua hirsuta",15,"WWRP Rel 4",2024
"268","Bouteloua sp.",0.5,"WWRP Italy Moraine Rel",2024
"269","Bromus ciliatus",3,"WWBW Rel",2024
"270","Bromus inermis",3,"LBRP Rel 8",2024
"271","Bromus inermis",15,"LHHL1 Rel",2024
"272","Bromus inermis",3,"LHPP rel 2",2024
"273","Bromus inermis",15,"MRPR Rel 3",2024
"274","Bromus inermis",3,"MRPR TB Rel 2",2024
"275","Bromus inermis",3,"South Creek Releve 1",2024
"276","Bromus inermis",37.5,"WWRP Italy Moraine Rel",2024
"277","Bromus inermis",3,"WWRP RCG unit 4 Rel",2024
"278","Bromus inermis",37.5,"WWRP Rel 2",2024
"279","Bromus inermis",15,"WWRP Rel 3",2024
"280","Bromus inermis",15,"WWRP Rel 4",2024
"281","Bromus japonicus",3,"LBRP  Rel 3",2024
"282","Bromus latiglumis",3,"LHHL2 Rel",2024
"283","Bromus latiglumis",0.5,"LHHL4 Rel",2024
"284","Bromus pubescens",3,"LHDL rel 2-2",2024
"285","Bromus pubescens",0.5,"LHHL1 Rel",2024
"286","Bromus pubescens",3,"LHHL4 Rel",2024
"287","Bromus pubescens",3,"MRPR C",2024
"288","Calamagrostis canadensis",3,"LBRP R",2024
"289","Calamagrostis canadensis",15,"LHHL 5",2024
"290","Calamagrostis canadensis",15,"LHHL1 Rel",2024
"291","Calamagrostis canadensis",3,"LHHL4 Rel",2024
"292","Calamagrostis canadensis",3,"TCP Lakeshore Rel 2",2024
"293","Calystegia sepium",15,"MRPR TB Rel 2",2024
"294","Calystegia sepium",3,"WWBW Rel",2024
"295","Calystegia sepium",3,"WWRP R",2024
"296","Calystegia sepium",3,"WWRP RCG unit 4 Rel",2024
"297","Calystegia sp.",3,"WWRP Rel 3",2024
"298","Campanula rotundifolia",0.5,"MRPR C",2024
"299","Campanula rotundifolia",3,"MRPR CPL19 rel 1",2024
"300","Campanulastrum americanum",3,"MRPR C",2024
"301","Campanulastrum americanum",3,"SLPR 1",2024
"302","Campanulastrum americanum",3,"SLPR Rel 2",2024
"303","Carduus acanthoides",0.5,"LBRP  Rel 3",2024
"304","Carex annectens",3,"South Creek Releve 1",2024
"305","Carex blanda",0.5,"LHHL3 Rel",2024
"306","Carex blanda",3,"MRPR Rel 2",2024
"307","Carex blanda",3,"SLSBWL rel 1",2024
"308","Carex brevior",0.5,"LHHL 5",2024
"309","Carex brevior",3,"WWRP Italy Moraine Rel",2024
"310","Carex cephalophora",3,"MRPR CPL19 rel 1",2024
"311","Carex cephalophora",0.5,"SLPR B",2024
"312","Carex cephalophora",3,"SLPR Rel 2",2024
"313","Carex cephalophora",15,"SLSBWL rel 1",2024
"314","Carex cf normalis",0.5,"SLPR B",2024
"315","Carex cf. blanda",3,"LBRP  Rel 3",2024
"316","Carex cf. blanda",3,"LBRP R",2024
"317","Carex cf. blanda",3,"LHSP 1-1",2024
"318","Carex cf. blanda",3,"MRPR C",2024
"319","Carex cf. blanda",3,"SLPR B",2024
"320","Carex cf. blanda",3,"TCP Lakeshore Rel 1",2024
"321","Carex cf. echinodes",3,"MRPR Rel 2",2024
"322","Carex cf. stricta",3,"TCP Lakeshore Rel 2",2024
"323","Carex comosa",3,"TCP Lakeshore Rel 1",2024
"324","Carex gracillima",0.5,"WWRP WL Rel",2024
"325","Carex pensylvanica",37.5,"LHDL rel 2-2",2024
"326","Carex pensylvanica",15,"LHHL 5",2024
"327","Carex pensylvanica",3,"LHHL1 Rel",2024
"328","Carex pensylvanica",3,"LHJL 1",2024
"329","Carex pensylvanica",3,"LHSP 1-1",2024
"330","Carex pensylvanica",3,"MRPR Rel 3",2024
"331","Carex pensylvanica",3,"SLPR Rel 2",2024
"332","Carex radiata",3,"MRPR Rel 2",2024
"333","Carex rosea",3,"LHDL rel 1-6",2024
"334","Carex rosea",0.5,"LHHL 5",2024
"335","Carex rosea",3,"LHHL3 Rel",2024
"336","Carex rosea",0.5,"MRPR Rel 2",2024
"337","Carex rosea",3,"MRPR Rel 3",2024
"338","Carex rosea",3,"SLSBWL rel 1",2024
"339","Carex scoparia",0.5,"LHDL rel 2-2",2024
"340","Carex sp.",3,"LBRP  Rel 3",2024
"341","Carex sp.",15,"LBRP R",2024
"342","Carex sp.",15,"LHDL rel 1-6",2024
"343","Carex sp.",0.5,"LHHL 5",2024
"344","Carex sp.",3,"LHHL1 Rel",2024
"345","Carex sp.",0.5,"LHHL2 Rel",2024
"346","Carex sp.",3,"LHHL4 Rel",2024
"347","Carex sp.",3,"LHSP 1-1",2024
"348","Carex sp.",3,"LHTS 1",2024
"349","Carex sp.",3,"MRPR C",2024
"350","Carex sp.",3,"SLCW Releve 1",2024
"351","Carex sp.",3,"SLPR B",2024
"352","Carex sp.",3,"SLPR Rel 2",2024
"353","Carex sp.",3,"South Creek Releve 1",2024
"354","Carex sp.",3,"TCP Lakeshore Rel 1",2024
"355","Carex sp.",15,"WWBW Rel",2024
"356","Carex sp.",3,"WWRP RCG unit 5 rel",2024
"357","Carex sp.",3,"WWRP Rel 3",2024
"358","Carex sp. 1",3,"TCP Lakeshore Rel 2",2024
"359","Carex sp. 2",15,"LBRP R",2024
"360","Carex sp. 2",3,"LHDL rel 1-6",2024
"361","Carex sp. 2",0.5,"LHHL2 Rel",2024
"362","Carex sp. 2",15,"LHTS 1",2024
"363","Carex sp. 2",3,"MRPR C",2024
"364","Carex sp. 2",3,"TCP Lakeshore Rel 2",2024
"365","Carex sp. 3",3,"LBRP R",2024
"366","Carex sp. 3",0.5,"LHTS 1",2024
"367","Carex sprengelii",15,"SLSBWL rel 1",2024
"368","Carya cordiformis",0.5,"MRPR C",2024
"369","Carya cordiformis",3,"SLCW Releve 1",2024
"370","Carya cordiformis",37.5,"SLPR 1",2024
"371","Carya cordiformis",3,"SLPR B",2024
"372","Carya cordiformis",37.5,"SLPR Rel 2",2024
"373","Carya cordiformis",0.5,"SLSBWL rel 1",2024
"374","Carya cordiformis",15,"South Creek Releve 2",2024
"375","Caulophyllum thalictroides",3,"SLCW Releve 1",2024
"376","Caulophyllum thalictroides",3,"SLPR 1",2024
"377","Caulophyllum thalictroides",3,"SLSBWL rel 1",2024
"378","Caulophyllum thalictroides",37.5,"WWRP WL Rel",2024
"379","Celastrus orbiculatus",3,"LHDL rel 1-6",2024
"380","Celastrus orbiculatus",3,"LHJL 1",2024
"381","Celastrus scandens",3,"LBRP  Rel 3",2024
"382","Celastrus scandens",3,"LHSP 1-1",2024
"383","Celastrus scandens",3,"SLPR B",2024
"384","Celastrus scandens",3,"SLPR Rel 2",2024
"385","Celastrus scandens",15,"WWRP Rel 2",2024
"386","Celastrus sp.",0.5,"MRPR Rel 2",2024
"387","Celastrus sp.",3,"MRPR Rel 3",2024
"388","Celtis occidentalis",3,"LBRP  Rel 3",2024
"389","Celtis occidentalis",37.5,"LBRP R",2024
"390","Celtis occidentalis",0.5,"LHHL1 Rel",2024
"391","Celtis occidentalis",0.5,"LHHL2 Rel",2024
"392","Celtis occidentalis",3,"LHHL3 Rel",2024
"393","Celtis occidentalis",3,"LHSP 1-1",2024
"394","Celtis occidentalis",3,"MRPR C",2024
"395","Celtis occidentalis",3,"MRPR Rel 2",2024
"396","Celtis occidentalis",3,"MRPR Rel 3",2024
"397","Celtis occidentalis",15,"SLCW Releve 1",2024
"398","Celtis occidentalis",15,"SLPR 1",2024
"399","Celtis occidentalis",3,"SLPR B",2024
"400","Celtis occidentalis",15,"SLPR Rel 2",2024
"401","Celtis occidentalis",15,"SLSBWL rel 1",2024
"402","Celtis occidentalis",15,"South Creek Releve 2",2024
"403","Celtis occidentalis",15,"WWRP WL Rel",2024
"404","Cerastium fontanum",3,"LHHL 5",2024
"405","Cerastium fontanum",3,"LHHL1 Rel",2024
"406","Cerastium fontanum",3,"MRPR C",2024
"407","Cf. Schizachne purpurascens",3,"LHDL rel 1-6",2024
"408","Chamaecrista fasciculata",3,"MRPR TB Rel 2",2024
"409","Chelone glabra",3,"WWBW Rel",2024
"410","Chenopodium album",3,"LBRP R",2024
"411","Chenopodium album",3,"WWRP Rel 4",2024
"412","Circaea lutetiana",3,"LBRP  Rel 3",2024
"413","Circaea lutetiana",3,"LBRP R",2024
"414","Circaea lutetiana",3,"LHDL rel 1-6",2024
"415","Circaea lutetiana",3,"LHDL rel 2-2",2024
"416","Circaea lutetiana",3,"LHHL 5",2024
"417","Circaea lutetiana",3,"LHHL1 Rel",2024
"418","Circaea lutetiana",3,"LHHL2 Rel",2024
"419","Circaea lutetiana",3,"LHHL3 Rel",2024
"420","Circaea lutetiana",3,"LHHL4 Rel",2024
"421","Circaea lutetiana",15,"LHJL 1",2024
"422","Circaea lutetiana",3,"LHSP 1-1",2024
"423","Circaea lutetiana",3,"MRPR C",2024
"424","Circaea lutetiana",3,"MRPR Rel 2",2024
"425","Circaea lutetiana",3,"MRPR Rel 3",2024
"426","Circaea lutetiana",3,"SLCW Releve 1",2024
"427","Circaea lutetiana",3,"SLPR B",2024
"428","Circaea lutetiana",3,"SLPR Rel 2",2024
"429","Circaea lutetiana",3,"SLSBWL rel 1",2024
"430","Circaea lutetiana",3,"South Creek Releve 2",2024
"431","Circaea lutetiana",3,"WWRP WL Rel",2024
"432","Cirsium arvense",3,"LBRP  Rel 3",2024
"433","Cirsium arvense",3,"LHDL rel 2-2",2024
"434","Cirsium arvense",3,"LHHL1 Rel",2024
"435","Cirsium arvense",3,"LHHL4 Rel",2024
"436","Cirsium arvense",3,"LHSP 1-1",2024
"437","Cirsium arvense",3,"MRPR TB Rel 2",2024
"438","Cirsium arvense",3,"South Creek Releve 1",2024
"439","Cirsium arvense",3,"TCP Lakeshore Rel 1",2024
"440","Cirsium arvense",15,"WWRP RCG unit 4 Rel",2024
"441","Cirsium arvense",3,"WWRP RCG unit 5 rel",2024
"442","Cirsium discolor",3,"LBRP  Rel 3",2024
"443","Cirsium discolor",3,"LHDL rel 1-6",2024
"444","Cirsium discolor",0.5,"LHHL4 Rel",2024
"445","Cirsium discolor",0.5,"TCP Lakeshore Rel 1",2024
"446","Cirsium discolor",3,"WWRP RCG unit 5 rel",2024
"447","Cirsium discolor",0.5,"WWRP Rel 2",2024
"448","Cirsium discolor",3,"WWRP Rel 3",2024
"449","Cirsium pumilum var. hillii",0.5,"MRPR CPL19 rel 1",2024
"450","Cirsium sp.",0.5,"LHTS 1",2024
"451","Cirsium vulgare",0.5,"LBRP  Rel 3",2024
"452","Cirsium vulgare",0.5,"LHHL 5",2024
"453","Cirsium vulgare",3,"TCP Lakeshore Rel 2",2024
"454","Cirsium vulgare",0.5,"WWRP RCG unit 4 Rel",2024
"455","Cirsium vulgare",3,"WWRP RCG unit 5 rel",2024
"456","Clematis virginiana",3,"LBRP R",2024
"457","Clematis virginiana",3,"LBRP Rel 8",2024
"458","Clematis virginiana",0.5,"MRPR Rel 3",2024
"459","Comandra umbellata",15,"WWRP Italy Moraine Rel",2024
"460","Conyza canadensis",3,"LBRP  Rel 3",2024
"461","Conyza canadensis",15,"LBRP R",2024
"462","Conyza canadensis",3,"LBRP Rel 8",2024
"463","Conyza canadensis",3,"LHDL rel 2-2",2024
"464","Conyza canadensis",3,"LHHL1 Rel",2024
"465","Conyza canadensis",3,"LHHL4 Rel",2024
"466","Conyza canadensis",15,"LHPP rel 1",2024
"467","Conyza canadensis",3,"LHPP rel 2",2024
"468","Conyza canadensis",3,"MRPR C",2024
"469","Conyza canadensis",3,"MRPR Rel 2",2024
"470","Conyza canadensis",3,"SLPR B",2024
"471","Conyza canadensis",3,"TCP Lakeshore Rel 2",2024
"472","Conyza canadensis",3,"WWRP Rel 4",2024
"473","Corallorhiza odontorhiza",3,"LHHL3 Rel",2024
"474","Coreopsis palmata",15,"WWRP Italy Moraine Rel",2024
"475","Cornus alternifolia",3,"SLPR 1",2024
"476","Cornus racemosa",15,"LHDL rel 1-6",2024
"477","Cornus racemosa",0.5,"LHDL rel 2-2",2024
"478","Cornus racemosa",3,"LHHL 5",2024
"479","Cornus racemosa",3,"LHHL1 Rel",2024
"480","Cornus racemosa",3,"LHHL3 Rel",2024
