"","scientific_name","common_name","x3","physiognamy","mn_nativity","mnwi","rarity_status","id","cc","cc_range","x12","midpoint_cc","p","p_c","releveCode","releveyear","releveSite"
"14","Erigeron sp.",NA,0,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.036144578313253,0,"LBRP12022","2022","LBRP1"
"15","Andropogon gerardii","big bluestem",4,"G","Native","FAC-","0",NA,3,">25-50%",37.5,37.5,1,4,"LBRP12022","2022","LBRP1"
"16","Persicaria punctata","dotted smartweed",5,"H","Native","OBL","0",NA,2,">5-25%",15,15,0.147783251231527,0.738916256157636,"LBRP42022","2022","LBRP4"
"17","Lemna minor s.s.","lesser duckweed",5,"F, H","Native","OBL","0",NA,1,">1-5%",3,3,0.0295566502463054,0.147783251231527,"LBRP42022","2022","LBRP4"
"18","Lycopus uniflorus","northern bugleweed",5,"H","Native","OBL","0",NA,NA,">1-5%",3,3,0.0295566502463054,0.147783251231527,"LBRP42022","2022","LBRP4"
"19","Typha latifolia","broad-leaved cattail",2,"H","Native","OBL","0",NA,4,">50-75%",62.5,62.5,0.61576354679803,1.23152709359606,"LBRP42022","2022","LBRP4"
"20","Typha angustifolia","narrow-leaved cattail",0,"H","Introduced","OBL","0",NA,1,">1-5%",3,3,0.0295566502463054,0,"LBRP42022","2022","LBRP4"
"21","Sparganium eurycarpum","giant bur-reed",5,"H","Native","OBL","0",NA,2,">5-25%",15,15,0.147783251231527,0.738916256157636,"LBRP42022","2022","LBRP4"
"22","Glyceria striata","fowl manna grass",4,"G","Native","OBL","0",NA,3,">25-50%",37.5,37.5,0.714285714285714,2.85714285714286,"LBRP42022","2022","LBRP4"
"23","Phalaris arundinacea","reed canary grass",0,"G","Introduced","FACW+","0",NA,2,">5-25%",15,15,0.285714285714286,0,"LBRP42022","2022","LBRP4"
"24","Fraxinus nigra","black ash",6,"D","Native","FACW+","0",NA,2,">5-25%",15,15,0.079155672823219,0.474934036939314,"LBRP72022","2022","LBRP7"
"25","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">1-5%",3,3,0.0158311345646438,0.0316622691292876,"LBRP72022","2022","LBRP7"
"26","Celtis occidentalis","hackberry",3,"D","Native","[FAC-]","0",NA,2,">5-25%",15,15,0.079155672823219,0.237467018469657,"LBRP72022","2022","LBRP7"
"27","Juniperus virginiana",NA,3,"E","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00263852242744063,0.0079155672823219,"LBRP72022","2022","LBRP7"
"28","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,5,">75-100%",87.5,87.5,0.461741424802111,0,"LBRP72022","2022","LBRP7"
"29","Exotic Lonicera spp.",NA,0,"D","Introduced",NA,"0",NA,3,">25-50%",37.5,37.5,0.197889182058047,0,"LBRP72022","2022","LBRP7"
"30","Prunus virginiana","chokecherry",3,"D","Native","[FAC-]","0",NA,1,">1-5%",3,3,0.0158311345646438,0.0474934036939314,"LBRP72022","2022","LBRP7"
"31","Ribes sp.",NA,3,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.0158311345646438,0.0474934036939314,"LBRP72022","2022","LBRP7"
"32","Zanthoxylum americanum","prickly ash",3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0158311345646438,0.0474934036939314,"LBRP72022","2022","LBRP7"
"33","Ulmus americana","American elm",3,"D","Native","FACW-","0",NA,NA,">0-1%",0.5,0.5,0.00263852242744063,0.0079155672823219,"LBRP72022","2022","LBRP7"
"34","Acer negundo","box elder",1,"D","Native","FACW-","0",NA,NA,">0-1%",0.5,0.5,0.00263852242744063,0.00263852242744063,"LBRP72022","2022","LBRP7"
"35","Viburnum opulus var. opulus",NA,0,"D","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0158311345646438,0,"LBRP72022","2022","LBRP7"
"36","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0158311345646438,0.0316622691292876,"LBRP72022","2022","LBRP7"
"37","Parthenocissus quinquefolia","Virginia creeper",3,"C","Native","FAC-","0",NA,2,">5-25%",15,15,0.079155672823219,0.237467018469657,"LBRP72022","2022","LBRP7"
"38","Teucrium canadense","germander",4,"H","Native","FACW-","0",NA,1,">1-5%",3,3,0.05,0.2,"LBRP72022","2022","LBRP7"
"39","Maianthemum canadense","Canada mayflower",5,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.05,0.25,"LBRP72022","2022","LBRP7"
"40","Actaea rubra","red baneberry",7,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.05,0.35,"LBRP72022","2022","LBRP7"
"41","Maianthemum racemosum",NA,5,"H","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00833333333333333,0.0416666666666667,"LBRP72022","2022","LBRP7"
"42","Glechoma hederacea","creeping charlie",0,"H","Introduced","FACU","0",NA,1,">1-5%",3,3,0.05,0,"LBRP72022","2022","LBRP7"
"43","Galium triflorum",NA,4,"H","Native","FACU+","0",NA,1,">1-5%",3,3,0.05,0.2,"LBRP72022","2022","LBRP7"
"44","Circaea lutetiana","common enchanter's nightshade",2,"H","Native","[FACU]","0",NA,1,">1-5%",3,3,0.05,0.1,"LBRP72022","2022","LBRP7"
"45","Leonurus cardiaca","common motherwort",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.05,0,"LBRP72022","2022","LBRP7"
"46","Hackelia virginiana","Virginia stickseed",1,"H","Native","FAC-","0",NA,NA,">1-5%",3,3,0.05,0.05,"LBRP72022","2022","LBRP7"
"47","Alliaria petiolata","garlic mustard",0,"H","Introduced","FAC","0",NA,1,">1-5%",3,3,0.05,0,"LBRP72022","2022","LBRP7"
"48","Viola sororia",NA,NA,NA,NA,NA,NA,NA,NA,">1-5%",3,3,0.05,NA,"LBRP72022","2022","LBRP7"
"49","Osmorhiza claytonii","Clayton's sweet cicely",3,"H","Native","FACU-","0",NA,NA,">1-5%",3,3,0.05,0.15,"LBRP72022","2022","LBRP7"
"50","Phryma leptostachya","lopseed",5,"H","Native","UPL","0",NA,NA,">0-1%",0.5,0.5,0.00833333333333333,0.0416666666666667,"LBRP72022","2022","LBRP7"
"51","Laportea canadensis","woodnettle",3,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.05,0.15,"LBRP72022","2022","LBRP7"
"52","Smilax tamnoides","greenbrier",4,"C","Native","[FAC]","0",NA,1,">1-5%",3,3,0.05,0.2,"LBRP72022","2022","LBRP7"
"53","Ageratina altissima","white snakeroot",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.05,0.05,"LBRP72022","2022","LBRP7"
"54","Arctium minus","common burdock",0,"H","Introduced","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00833333333333333,0,"LBRP72022","2022","LBRP7"
"55","Urtica dioica",NA,1,"H","Native","FACW","0",NA,NA,">0-1%",0.5,0.5,0.00833333333333333,0.00833333333333333,"LBRP72022","2022","LBRP7"
"56","Athyrium filix-femina","lady fern",5,"H","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00833333333333333,0.0416666666666667,"LBRP72022","2022","LBRP7"
"57","Cf. Angelica atropurpurea",NA,NA,NA,NA,NA,NA,NA,NA,">0-1%",0.5,0.5,0.00833333333333333,NA,"LBRP72022","2022","LBRP7"
"58","Rudbeckia laciniata","tall coneflower",6,NA,"Native","FACW","0",NA,NA,">1-5%",3,3,0.05,0.3,"LBRP72022","2022","LBRP7"
"59","Solidago gigantea","giant goldenrod",3,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.05,0.15,"LBRP72022","2022","LBRP7"
"60","Chenopodium album","white lamb's quarters",0,"H","Introduced","FAC-","0",NA,NA,">1-5%",3,3,0.05,0,"LBRP72022","2022","LBRP7"
"61","Unknown forb",NA,NA,NA,NA,NA,NA,NA,NA,">1-5%",3,3,0.05,NA,"LBRP72022","2022","LBRP7"
"62","Geum canadense","white avens",2,"H","Native","FAC","0",NA,NA,">1-5%",3,3,0.05,0.1,"LBRP72022","2022","LBRP7"
"63","Carex rosea","starry sedge",4,"G","Native","FACU","0",NA,3,">25-50%",37.5,37.5,0.675675675675676,2.7027027027027,"LBRP72022","2022","LBRP7"
"64","Carex cf. pennsylvanica",NA,3,"G","Native",NA,NA,NA,2,">5-25%",15,15,0.27027027027027,0.810810810810811,"LBRP72022","2022","LBRP7"
"65","Carex blanda","charming sedge",2,"G","Native","FAC","0",NA,NA,">1-5%",3,3,0.0540540540540541,0.108108108108108,"LBRP72022","2022","LBRP7"
"66","Ribes sp.",NA,3,"D","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.0123456790123457,0.037037037037037,"LBRP82022","2022","LBRP8"
"67","Zanthoxylum americanum","prickly ash",3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0740740740740741,0.222222222222222,"LBRP82022","2022","LBRP8"
"68","Juglans nigra","black walnut",4,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0740740740740741,0.296296296296296,"LBRP82022","2022","LBRP8"
"69","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0740740740740741,0,"LBRP82022","2022","LBRP8"
"70","Exotic Lonicera spp.",NA,0,"D","Introduced",NA,"0",NA,NA,">0-1%",0.5,0.5,0.0123456790123457,0,"LBRP82022","2022","LBRP8"
"71","Rhus glabra","smooth sumac",2,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.0740740740740741,0.148148148148148,"LBRP82022","2022","LBRP8"
"72","Rubus occidentalis","black raspberry",2,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.0740740740740741,0.148148148148148,"LBRP82022","2022","LBRP8"
"73","Toxicodendron rydbergii","western poison ivy",1,"D","Native","FAC","0",NA,2,">5-25%",15,15,0.37037037037037,0.37037037037037,"LBRP82022","2022","LBRP8"
"74","Ulmus pumila","Siberian elm",0,"D","Introduced","UPL","0",NA,1,">1-5%",3,3,0.0740740740740741,0,"LBRP82022","2022","LBRP8"
"75","Clematis virginiana","virgin's bower",4,"C","Native","FAC","0",NA,NA,">0-1%",0.5,0.5,0.0123456790123457,0.0493827160493827,"LBRP82022","2022","LBRP8"
"76","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">1-5%",3,3,0.0740740740740741,0.148148148148148,"LBRP82022","2022","LBRP8"
"77","Parthenocissus quinquefolia","Virginia creeper",3,"C","Native","FAC-","0",NA,NA,">1-5%",3,3,0.0740740740740741,0.222222222222222,"LBRP82022","2022","LBRP8"
"78","Ambrosia artemisiifolia","common ragweed",0,"H","Native","FACU","0",NA,2,">5-25%",15,15,0.167597765363128,0,"LBRP82022","2022","LBRP8"
"79","Physalis heterophylla",NA,3,"H","Native",NA,"0",NA,2,">5-25%",15,15,0.167597765363128,0.502793296089385,"LBRP82022","2022","LBRP8"
"80","Monarda fistulosa","wild bergamot",3,"H","Native","FACU","0",NA,2,">5-25%",15,15,0.167597765363128,0.502793296089385,"LBRP82022","2022","LBRP8"
"81","Verbena stricta","hoary vervain",3,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.0335195530726257,0.100558659217877,"LBRP82022","2022","LBRP8"
"82","Pastinaca sativa","wild parsnip",0,"H","Introduced",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00558659217877095,0,"LBRP82022","2022","LBRP8"
"83","Melilotus alba","white sweet clover",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"84","Tragopogon dubius","yellow goat's beard",0,"H","Introduced",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00558659217877095,0,"LBRP82022","2022","LBRP8"
"85","Lactuca canadensis","Canada wild lettuce",2,"H","Native","FACU+","0",NA,NA,">0-1%",0.5,0.5,0.00558659217877095,0.0111731843575419,"LBRP82022","2022","LBRP8"
"86","Verbascum thapsus","common mullein",0,"H","Introduced","UPL","0",NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"87","Achillea millefolium","common yarrow",1,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0335195530726257,0.0335195530726257,"LBRP82022","2022","LBRP8"
"88","Fragaria virginiana","common strawberry",2,"H","Native","FAC-","0",NA,1,">1-5%",3,3,0.0335195530726257,0.0670391061452514,"LBRP82022","2022","LBRP8"
"89","Euphorbia dentata","toothed spurge",1,"H","Native",NA,"0",NA,1,">1-5%",3,3,0.0335195530726257,0.0335195530726257,"LBRP82022","2022","LBRP8"
"90","Berteroa incana","hoary alyssum",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"91","Solidago gigantea","giant goldenrod",3,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.0335195530726257,0.100558659217877,"LBRP82022","2022","LBRP8"
"92","Fallopia convolvulus","black-bindweed",0,"H","Introduced","[FAC-]","0",NA,NA,">0-1%",0.5,0.5,0.00558659217877095,0,"LBRP82022","2022","LBRP8"
"93","Asclepias verticillata","whorled milkweed",2,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0335195530726257,0.0670391061452514,"LBRP82022","2022","LBRP8"
"94","Euphorbia nutans","nodding spurge",0,"H","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"95","Potentilla recta","rough-fruited cinquefoil",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"96","Anemone cylindrica","long-headed thimbleweed",6,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.0335195530726257,0.201117318435754,"LBRP82022","2022","LBRP8"
"97","Viola sp.",NA,0,"H",NA,NA,NA,NA,NA,">1-5%",3,3,0.0335195530726257,0,"LBRP82022","2022","LBRP8"
"98","Solidago altissima","late goldenrod",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0335195530726257,0.0335195530726257,"LBRP82022","2022","LBRP8"
"99","Mirabilis nyctaginea","heart-leaved four o'clock",1,"H","Native","UPL","0",NA,NA,">0-1%",0.5,0.5,0.00558659217877095,0.00558659217877095,"LBRP82022","2022","LBRP8"
"100","Dichanthelium sp.",NA,3,"G","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00574712643678161,0.0172413793103448,"LBRP82022","2022","LBRP8"
"101","Andropogon gerardii","big bluestem",4,"G","Native","FAC-","0",NA,4,">50-75%",62.5,62.5,0.718390804597701,2.8735632183908,"LBRP82022","2022","LBRP8"
"102","Bouteloua curtipendula",NA,6,"G","Native",NA,"0",NA,2,">5-25%",15,15,0.172413793103448,1.03448275862069,"LBRP82022","2022","LBRP8"
"103","Bromus inermis","smooth brome",0,"G","Introduced","FACU","0",NA,1,">1-5%",3,3,0.0344827586206897,0,"LBRP82022","2022","LBRP8"
"104","Carex sp.",NA,3,"G","Native",NA,"0",NA,NA,">1-5%",3,3,0.0344827586206897,0.103448275862069,"LBRP82022","2022","LBRP8"
"105","Poa pratensis","Kentucky bluegrass",0,"G","Introduced","FAC","0",NA,1,">1-5%",3,3,0.0344827586206897,0,"LBRP82022","2022","LBRP8"
"106","Quercus ellipsoidalis","northern pin oak",5,"D","Native",NA,"0",NA,2,">5-25%",15,15,0.072463768115942,0.36231884057971,"LHDL12022","2022","LHDL1"
"107","Acer negundo","box elder",1,"D","Native","FACW-","0",NA,3,">25-50%",37.5,37.5,0.181159420289855,0.181159420289855,"LHDL12022","2022","LHDL1"
"108","Betula papyrifera","paper birch",3,"D","Native","[FACU+]","0",NA,2,">5-25%",15,15,0.072463768115942,0.217391304347826,"LHDL12022","2022","LHDL1"
"109","Ulmus americana","American elm",3,"D","Native","FACW-","0",NA,2,">5-25%",15,15,0.072463768115942,0.217391304347826,"LHDL12022","2022","LHDL1"
"110","Zanthoxylum americanum","prickly ash",3,"D","Native","FACU","0",NA,2,">5-25%",15,15,0.072463768115942,0.217391304347826,"LHDL12022","2022","LHDL1"
"111","Prunus serotina","black cherry",4,"D","Native","[FACU]","0",NA,2,">5-25%",15,15,0.072463768115942,0.289855072463768,"LHDL12022","2022","LHDL1"
"112","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0144927536231884,0,"LHDL12022","2022","LHDL1"
"113","Ostrya virginiana","ironwood",4,"D","Native","[FACU-]","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0579710144927536,"LHDL12022","2022","LHDL1"
"114","Ribes sp.",NA,3,"D","Native",NA,"0",NA,2,">5-25%",15,15,0.072463768115942,0.217391304347826,"LHDL12022","2022","LHDL1"
"115","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0289855072463768,"LHDL12022","2022","LHDL1"
"116","Viburnum lentago","nannyberry",4,"D","Native","FAC+","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0579710144927536,"LHDL12022","2022","LHDL1"
"117","Prunus virginiana","chokecherry",3,"D","Native","[FAC-]","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0434782608695652,"LHDL12022","2022","LHDL1"
"118","Quercus alba","white oak",7,"D","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00241545893719807,0.0169082125603865,"LHDL12022","2022","LHDL1"
"119","Exotic Lonicera spp.",NA,0,"D","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0144927536231884,0,"LHDL12022","2022","LHDL1"
"120","Rubus allegheniensis","Allegheny blackberry",2,"D","Native","[FACU+]","0",NA,2,">5-25%",15,15,0.072463768115942,0.144927536231884,"LHDL12022","2022","LHDL1"
"121","Rubus occidentalis","black raspberry",2,"D","Native",NA,"0",NA,2,">5-25%",15,15,0.072463768115942,0.144927536231884,"LHDL12022","2022","LHDL1"
"122","Populus tremuloides","quaking aspen",2,"D","Native","[FAC]","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0289855072463768,"LHDL12022","2022","LHDL1"
"123","Celtis occidentalis","hackberry",3,"D","Native","[FAC-]","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0434782608695652,"LHDL12022","2022","LHDL1"
"124","Rubus idaeus",NA,3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0434782608695652,"LHDL12022","2022","LHDL1"
"125","Ribes americanum","wild black currant",4,"D","Native","FACW","0",NA,NA,">0-1%",0.5,0.5,0.00241545893719807,0.00966183574879227,"LHDL12022","2022","LHDL1"
"126","Viburnum rafinesquianum","downy arrowwood",7,"D","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00241545893719807,0.0169082125603865,"LHDL12022","2022","LHDL1"
"127","Viburnum opulus var. opulus",NA,0,"D","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0144927536231884,0,"LHDL12022","2022","LHDL1"
"128","Parthenocissus quinquefolia","Virginia creeper",3,"C","Native","FAC-","0",NA,2,">5-25%",15,15,0.072463768115942,0.217391304347826,"LHDL12022","2022","LHDL1"
"129","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0144927536231884,0.0289855072463768,"LHDL12022","2022","LHDL1"
"130","Torilis japonica","Japanese Hedge Parsley",0,"H","Introduced",NA,"0",NA,2,">5-25%",15,15,0.115384615384615,0,"LHDL12022","2022","LHDL1"
"131","Athyrium filix-femina","lady fern",5,"H","Native",NA,"0",NA,2,">5-25%",15,15,0.115384615384615,0.576923076923077,"LHDL12022","2022","LHDL1"
"132","Circaea lutetiana","common enchanter's nightshade",2,"H","Native","[FACU]","0",NA,1,">1-5%",3,3,0.0230769230769231,0.0461538461538462,"LHDL12022","2022","LHDL1"
"133","Amphicarpaea bracteata","hog peanut",2,"H","Native","FAC","0",NA,2,">5-25%",15,15,0.115384615384615,0.230769230769231,"LHDL12022","2022","LHDL1"
"134","Geranium maculatum","wild geranium",4,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0230769230769231,0.0923076923076923,"LHDL12022","2022","LHDL1"
"135","Solidago flexicaulis","zigzag goldenrod",5,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.115384615384615,"LHDL12022","2022","LHDL1"
"136","Arisaema triphyllum","Jack-in-the-pulpit",4,"H","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.0923076923076923,"LHDL12022","2022","LHDL1"
"137","Galium triflorum",NA,4,"H","Native","FACU+","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.0923076923076923,"LHDL12022","2022","LHDL1"
"138","Pilea sp.",NA,3,"H","Native",NA,"0",NA,1,">1-5%",3,3,0.0230769230769231,0.0692307692307692,"LHDL12022","2022","LHDL1"
"139","Alliaria petiolata","garlic mustard",0,"H","Introduced","FAC","0",NA,NA,">1-5%",3,3,0.0230769230769231,0,"LHDL12022","2022","LHDL1"
"140","Hackelia virginiana","Virginia stickseed",1,"H","Native","FAC-","0",NA,1,">1-5%",3,3,0.0230769230769231,0.0230769230769231,"LHDL12022","2022","LHDL1"
"141","Ageratina altissima","white snakeroot",1,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0230769230769231,0.0230769230769231,"LHDL12022","2022","LHDL1"
"142","Symphyotrichum cf. lateriflorum",NA,1,"H","Native",NA,NA,NA,NA,">1-5%",3,3,0.0230769230769231,0.0230769230769231,"LHDL12022","2022","LHDL1"
"143","Urtica dioica",NA,1,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.0230769230769231,"LHDL12022","2022","LHDL1"
"144","Boehmeria cylindrica","false nettle",5,"H","Native","OBL","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.115384615384615,"LHDL12022","2022","LHDL1"
"145","Plantago rugelii","Rugel's plantain",0,"H","Native","[FAC]","0",NA,NA,">0-1%",0.5,0.5,0.00384615384615385,0,"LHDL12022","2022","LHDL1"
"146","Scutellaria lateriflora","mad dog skullcap",5,"H","Native","OBL","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.115384615384615,"LHDL12022","2022","LHDL1"
"147","Epilobium cf. coloratum",NA,3,"H","Native",NA,NA,NA,NA,">1-5%",3,3,0.0230769230769231,0.0692307692307692,"LHDL12022","2022","LHDL1"
"148","Solidago altissima","late goldenrod",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.0230769230769231,"LHDL12022","2022","LHDL1"
"149","Erigeron annuus","annual fleabane",0,"H","Native","FAC-","0",NA,NA,">1-5%",3,3,0.0230769230769231,0,"LHDL12022","2022","LHDL1"
"150","Thalictrum dioicum","early meadow-rue",5,"H","Native","FACU+","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.115384615384615,"LHDL12022","2022","LHDL1"
"151","Actaea rubra","red baneberry",7,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.161538461538462,"LHDL12022","2022","LHDL1"
"152","Viola sp.",NA,0,"H",NA,NA,NA,NA,1,">1-5%",3,3,0.0230769230769231,0,"LHDL12022","2022","LHDL1"
"153","Onoclea sensibilis","sensitive fern",4,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.0923076923076923,"LHDL12022","2022","LHDL1"
"154","Desmodium glutinosum","pointed-leaved tick trefoil",6,"H","Native",NA,"0",NA,2,">5-25%",15,15,0.115384615384615,0.692307692307692,"LHDL12022","2022","LHDL1"
"155","Agrimonia pubescens","downy agrimony",5,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.0230769230769231,0.115384615384615,"LHDL12022","2022","LHDL1"
"156","Geum canadense","white avens",2,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.0230769230769231,0.0461538461538462,"LHDL12022","2022","LHDL1"
"157","Ranunculus hispidus","hispid buttercup",6,"H","Native","FAC","0",NA,NA,">0-1%",0.5,0.5,0.00384615384615385,0.0230769230769231,"LHDL12022","2022","LHDL1"
"158","Cystopteris bulbifera","bulblet fern",8,"H","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0230769230769231,0.184615384615385,"LHDL12022","2022","LHDL1"
"159","Phalaris arundinacea","reed canary grass",0,"G","Introduced","FACW+","0",NA,NA,">1-5%",3,3,0.142857142857143,0,"LHDL12022","2022","LHDL1"
"160","Leersia oryzoides","rice cut grass",3,"G","Native","OBL","0",NA,2,">5-25%",15,15,0.714285714285714,2.14285714285714,"LHDL12022","2022","LHDL1"
"161","Carex sp.",NA,3,"G","Native",NA,"0",NA,NA,">1-5%",3,3,0.142857142857143,0.428571428571429,"LHDL12022","2022","LHDL1"
"162","Quercus ellipsoidalis","northern pin oak",5,"D","Native",NA,"0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"163","Ulmus americana","American elm",3,"D","Native","FACW-","0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"164","Exotic Lonicera spp.",NA,0,"D","Introduced",NA,"0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"165","Prunus serotina","black cherry",4,"D","Native","[FACU]","0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"166","Frangula alnus",NA,0,"D","Introduced","[FAC+]","0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"167","Corylus americana","American hazelnut",3,"D","Native","FACU-","0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
"168","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,NA,NA,NA,NA,NA,NA,"LHDL62022","2022","LHDL6"
